room_type_id,hotel_id,name,description,max_adults,max_children,bed_configuration,size_m2,bathroom_type,services,accessible,base_price_per_night,breakfast_included,cancellation_policy
79,22,single,"The single room at Inn Mountain Rest has an area of approximately 19 m2 and is furnished with one single bed, with room for up to 1 adults. Amenities include iron, tv, heating, terrace, balcony, jacuzzi, minibar and safe. The rate includes breakfast. The cancellation policy for this room is non-refundable.",1,0,one single bed,19,private,iron;tv;heating;terrace;balcony;jacuzzi;minibar;safe,True,178.02,True,non-refundable
80,22,double,"The double room at Inn Mountain Rest has an area of approximately 21 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include minibar, safe, soundproofing, hairdryer, sea view, air conditioning, wifi and heating. The rate includes breakfast. The cancellation policy for this room is moderate.",2,1,one double bed,21,shared,minibar;safe;soundproofing;hairdryer;sea view;air conditioning;wifi;heating,False,264.0,True,moderate
81,23,single,"The single room at Grand Hotel Cedar Hill has an area of approximately 13 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include terrace, minibar, coffee machine, city view and soundproofing. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",1,0,one single bed,13,private,terrace;minibar;coffee machine;city view;soundproofing,True,24.65,False,non-refundable
82,23,junior suite,"The junior suite room at Grand Hotel Cedar Hill has an area of approximately 33 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include minibar, desk, city view, terrace and coffee machine. The rate includes breakfast. The cancellation policy for this room is flexible.",2,2,one double bed and a sitting area,33,private,minibar;desk;city view;terrace;coffee machine,False,73.69,True,flexible
83,23,double,"The double room at Grand Hotel Cedar Hill has an area of approximately 28 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child. Amenities include wifi, balcony and sea view. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,one king-size bed,28,private,wifi;balcony;sea view,True,42.52,False,moderate
84,23,suite,"The suite room at Grand Hotel Cedar Hill has an area of approximately 63 m2 and is furnished with one double bed and a separate lounge, with room for up to 3 adults and 2 children.

Amenities include sea view, air conditioning, coffee machine, city view and hairdryer. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",3,2,one double bed and a separate lounge,63,private,sea view;air conditioning;coffee machine;city view;hairdryer,False,113.41,False,strict
85,23,triple,"The triple room at Grand Hotel Cedar Hill has an area of approximately 29 m2 and is furnished with three single beds, with room for up to 3 adults and 1 child.

Amenities include tv, hairdryer, balcony, desk and safe. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",3,1,three single beds,29,private,tv;hairdryer;balcony;desk;safe,False,48.67,False,flexible
86,24,suite,"The suite room at Boutique Hotel Central Park has an area of approximately 64 m2 and is furnished with one king-size bed and a sofa bed, with room for up to 3 adults and 2 children. Amenities include desk, minibar, wifi and hairdryer. The rate includes breakfast. The cancellation policy for this room is moderate.",3,2,one king-size bed and a sofa bed,64,shared,desk;minibar;wifi;hairdryer,False,67.21,True,moderate
87,24,family,"The family room at Boutique Hotel Central Park has an area of approximately 50 m2 and is furnished with four single beds, with room for up to 4 adults and 2 children.

Amenities include air conditioning, balcony, terrace, city view and hairdryer. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",4,2,four single beds,50,private,air conditioning;balcony;terrace;city view;hairdryer,True,80.29,False,non-refundable
88,24,double,"The double room at Boutique Hotel Central Park has an area of approximately 24 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include soundproofing, desk, balcony, tv, jacuzzi and iron. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,one double bed,24,private,soundproofing;desk;balcony;tv;jacuzzi;iron,False,45.59,False,moderate
89,24,triple,"The triple room at Boutique Hotel Central Park has an area of approximately 31 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include iron, soundproofing, sea view, city view and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",3,1,one double bed and one single bed,31,private,iron;soundproofing;sea view;city view;coffee machine,True,61.69,False,flexible
90,25,double,"The double room at Hotel Palm Grove has an area of approximately 21 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child. Amenities include hairdryer, desk, safe, city view and sea view. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,1,one king-size bed,21,private,hairdryer;desk;safe;city view;sea view,True,43.02,False,strict
91,25,single,"The single room at Hotel Palm Grove has an area of approximately 16 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include safe, tv, soundproofing, air conditioning and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",1,0,one single bed,16,private,safe;tv;soundproofing;air conditioning;coffee machine,True,25.85,False,flexible
92,25,junior suite,"The junior suite room at Hotel Palm Grove has an area of approximately 35 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include air conditioning, desk, tv and iron. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,2,one double bed and a sitting area,35,private,air conditioning;desk;tv;iron,True,81.22,False,flexible
